iter	Passed	Remaining
0	57	57427
1	57	28812
2	57	19260
3	58	14493
4	58	11626
5	58	9712
6	58	8346
7	59	7323
8	59	6524
9	59	5885
10	59	5364
11	59	4929
12	60	4562
13	60	4247
14	60	3971
15	60	3731
16	60	3520
17	61	3334
18	61	3166
19	61	3016
20	61	2878
21	62	2756
22	62	2647
23	62	2545
24	62	2453
25	63	2367
26	63	2285
27	63	2208
28	63	2137
29	64	2070
30	64	2008
31	64	1950
32	64	1894
33	64	1844
34	65	1798
35	65	1754
36	65	1712
37	66	1673
38	66	1633
39	66	1596
40	66	1560
41	66	1526
42	67	1493
43	67	1462
44	67	1432
45	67	1404
46	67	1378
47	68	1352
48	68	1326
49	68	1303
50	68	1279
51	68	1257
52	69	1235
53	69	1215
54	69	1194
55	69	1175
56	69	1157
57	70	1139
58	70	1121
59	70	1104
60	70	1088
61	70	1073
62	71	1058
63	71	1044
64	71	1031
65	71	1017
66	72	1004
67	72	989
68	72	976
69	72	964
70	72	952
71	73	941
72	73	929
73	73	918
74	73	907
75	73	897
76	74	887
77	74	876
78	74	867
79	74	857
80	74	848
81	75	839
82	75	831
83	75	822
84	75	812
85	75	804
86	75	795
87	76	787
88	76	780
89	76	773
90	76	765
91	76	759
92	77	752
93	77	745
94	77	738
95	77	731
96	77	724
97	78	718
98	78	712
99	78	705
100	78	699
101	78	692
102	78	686
103	79	681
104	79	675
105	79	669
106	79	664
107	79	659
108	79	653
109	80	648
110	80	643
111	80	638
112	80	633
113	80	628
114	81	623
115	81	618
116	81	614
117	81	609
118	81	604
119	81	600
120	82	595
121	82	591
122	82	586
123	82	582
124	82	578
125	82	574
126	82	570
127	83	565
128	83	562
129	83	558
130	83	554
131	83	551
132	84	547
133	84	544
134	84	540
135	84	537
136	84	533
137	84	529
138	85	526
139	85	523
140	85	520
141	85	516
142	85	513
143	85	510
144	86	507
145	86	504
146	86	501
147	86	498
148	86	495
149	86	492
150	87	490
151	87	487
152	87	484
153	87	481
154	87	479
155	88	476
156	88	473
157	88	471
158	88	468
159	88	466
160	88	463
161	89	461
162	89	458
163	89	456
164	89	454
165	89	452
166	90	449
167	90	447
168	90	445
169	90	443
170	90	440
171	91	438
172	91	436
173	91	434
174	91	431
175	91	429
176	91	427
177	92	425
178	92	423
179	92	421
180	92	419
181	92	417
182	92	415
183	93	413
184	93	411
185	93	409
186	93	407
187	93	405
188	93	403
189	94	401
190	94	399
191	94	397
192	94	395
193	94	394
194	95	392
195	95	390
196	95	388
197	95	387
198	95	385
199	95	383
200	96	382
201	96	380
202	96	378
203	96	377
204	96	375
205	97	373
206	97	372
207	97	370
208	97	369
209	97	367
210	97	366
211	98	364
212	98	363
213	98	361
214	98	360
215	98	358
216	98	357
217	99	355
218	99	354
219	99	352
220	99	351
221	99	350
222	100	348
223	100	347
224	100	346
225	100	344
226	100	343
227	101	342
228	101	340
229	101	339
230	101	338
231	101	336
232	101	335
233	102	334
234	102	333
235	102	331
236	102	330
237	102	329
238	103	328
239	103	327
240	103	325
241	103	324
242	103	323
243	104	322
244	104	321
245	104	320
246	104	319
247	104	317
248	105	316
249	105	315
250	105	314
251	105	313
252	105	312
253	105	311
254	106	310
255	106	309
256	106	307
257	106	306
258	106	305
259	107	304
260	107	303
261	107	302
262	107	301
263	107	300
264	108	299
265	108	298
266	108	297
267	108	296
268	108	295
269	108	294
270	109	293
271	109	292
272	109	291
273	109	290
274	109	289
275	109	288
276	110	287
277	110	286
278	110	285
279	110	284
280	110	283
281	111	282
282	111	281
283	111	280
284	111	279
285	111	278
286	111	278
287	112	277
288	112	276
289	112	275
290	112	274
291	113	274
292	113	273
293	113	272
294	113	271
295	113	270
296	113	269
297	114	268
298	114	268
299	114	267
300	114	266
301	114	265
302	115	264
303	115	263
304	115	262
305	115	262
306	115	261
307	115	260
308	116	259
309	116	258
310	116	257
311	116	257
312	116	256
313	116	255
314	117	254
315	117	253
316	117	253
317	117	252
318	117	251
319	118	250
320	118	250
321	118	249
322	118	248
323	118	247
324	118	247
325	119	246
326	119	245
327	119	244
328	119	243
329	119	243
330	120	242
331	120	241
332	120	241
333	120	240
334	120	239
335	120	238
336	121	238
337	121	237
338	121	236
339	121	236
340	121	235
341	122	234
342	122	234
343	122	233
344	122	232
345	122	232
346	122	231
347	123	230
348	123	230
349	123	229
350	123	228
351	123	228
352	124	227
353	124	226
354	124	226
355	124	225
356	125	225
357	125	224
358	125	223
359	125	223
360	125	222
361	125	221
362	126	221
363	126	220
364	126	220
365	126	219
366	126	218
367	127	218
368	127	217
369	127	217
370	127	216
371	127	216
372	128	215
373	128	214
374	128	214
375	128	213
376	128	213
377	129	212
378	129	212
379	129	211
380	129	210
381	130	210
382	130	209
383	130	209
384	130	208
385	130	208
386	131	207
387	131	206
388	131	206
389	131	205
390	131	205
391	132	204
392	132	204
393	132	203
394	132	203
395	132	202
396	133	202
397	133	201
398	133	200
399	133	200
400	133	199
401	133	199
402	134	198
403	134	198
404	134	197
405	134	197
406	134	196
407	135	195
408	135	195
409	135	194
410	135	194
411	135	193
412	135	193
413	136	192
414	136	192
415	136	191
416	136	190
417	136	190
418	136	189
419	137	189
420	137	188
421	137	188
422	137	187
423	137	187
424	138	186
425	138	186
426	138	185
427	138	185
428	138	184
429	138	184
430	139	183
431	139	183
432	139	182
433	139	182
434	139	181
435	139	181
436	140	180
437	140	180
438	140	179
439	140	179
440	140	178
441	141	178
442	141	177
443	141	177
444	141	176
445	141	176
446	141	175
447	142	175
448	142	174
449	142	174
450	142	173
451	142	173
452	142	172
453	143	172
454	143	171
455	143	171
456	143	170
457	143	170
458	144	169
459	144	169
460	144	168
461	144	168
462	144	167
463	144	167
464	145	167
465	145	166
466	145	166
467	145	165
468	145	165
469	146	164
470	146	164
471	146	163
472	146	163
473	146	162
474	146	162
475	147	161
476	147	161
477	147	161
478	147	160
479	147	160
480	148	159
481	148	159
482	148	158
483	148	158
484	148	157
485	148	157
486	149	157
487	149	156
488	149	156
489	149	155
490	149	155
491	150	154
492	150	154
493	150	154
494	150	153
495	150	153
496	150	152
497	151	152
498	151	151
499	151	151
500	151	151
501	151	150
502	152	150
503	152	149
504	152	149
505	152	148
506	152	148
507	152	148
508	153	147
509	153	147
510	153	146
511	153	146
512	153	146
513	154	145
514	154	145
515	154	144
516	154	144
517	154	143
518	154	143
519	155	143
520	155	142
521	155	142
522	155	141
523	155	141
524	155	141
525	156	140
526	156	140
527	156	139
528	156	139
529	156	139
530	157	138
531	157	138
532	157	137
533	157	137
534	157	137
535	157	136
536	158	136
537	158	135
538	158	135
539	158	135
540	158	134
541	158	134
542	159	133
543	159	133
544	159	133
545	159	132
546	159	132
547	159	131
548	160	131
549	160	131
550	160	130
551	160	130
552	160	129
553	160	129
554	161	129
555	161	128
556	161	128
557	161	128
558	161	127
559	162	127
560	162	126
561	162	126
562	162	126
563	162	125
564	162	125
565	163	125
566	163	124
567	163	124
568	163	123
569	163	123
570	164	123
571	164	122
572	164	122
573	164	122
574	164	121
575	164	121
576	165	121
577	165	120
578	165	120
579	165	119
580	165	119
581	166	119
582	166	118
583	166	118
584	166	118
585	166	117
586	167	117
587	167	117
588	167	116
589	167	116
590	167	116
591	167	115
592	168	115
593	168	115
594	168	114
595	168	114
596	168	114
597	169	113
598	169	113
599	169	113
600	169	112
601	169	112
602	170	112
603	170	111
604	170	111
605	170	111
606	170	110
607	171	110
608	171	110
